name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]",null
vanilla,vanilla,,,,,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]",null
vanilla,vanilla,,,,,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]",null
vanilla,vanilla,,,,,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]",null
vanilla,vanilla,,,,,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.24, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.11, -0.24, 0.034999999999999996]","[-0.11, -0.24, 0.034999999999999996]","[0.009999999999999995, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.13, -0.24, 0.034999999999999996]","[-0.13, -0.24, 0.034999999999999996]","[-0.010000000000000009, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.22999999999999998, 0.034999999999999996]","[-0.12, -0.22999999999999998, 0.034999999999999996]","[0.0, 0.010000000000000009, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.25, 0.034999999999999996]","[-0.12, -0.25, 0.034999999999999996]","[0.0, -0.010000000000000009, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.09999999999999999, -0.24, 0.034999999999999996]","[-0.09999999999999999, -0.24, 0.034999999999999996]","[0.020000000000000004, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h02cm_minusx,perturbation,0.02,2.0,x,-1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.13999999999999999, -0.24, 0.034999999999999996]","[-0.13999999999999999, -0.24, 0.034999999999999996]","[-0.01999999999999999, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h02cm_plusy,perturbation,0.02,2.0,y,1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.22, 0.034999999999999996]","[-0.12, -0.22, 0.034999999999999996]","[0.0, 0.01999999999999999, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h02cm_minusy,perturbation,0.02,2.0,y,-1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.26, 0.034999999999999996]","[-0.12, -0.26, 0.034999999999999996]","[0.0, -0.020000000000000018, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h04cm_plusx,perturbation,0.04,4.0,x,1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.07999999999999999, -0.24, 0.034999999999999996]","[-0.07999999999999999, -0.24, 0.034999999999999996]","[0.04000000000000001, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h04cm_minusx,perturbation,0.04,4.0,x,-1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.16, -0.24, 0.034999999999999996]","[-0.16, -0.24, 0.034999999999999996]","[-0.04000000000000001, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h04cm_plusy,perturbation,0.04,4.0,y,1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.19999999999999998, 0.034999999999999996]","[-0.12, -0.19999999999999998, 0.034999999999999996]","[0.0, 0.04000000000000001, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h04cm_minusy,perturbation,0.04,4.0,y,-1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.12, -0.27999999999999997, 0.034999999999999996]","[-0.12, -0.27999999999999997, 0.034999999999999996]","[0.0, -0.03999999999999998, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
h08cm_plusx,perturbation,0.08,8.0,x,1,True,,"[-0.12, -0.24, 0.034999999999999996]","[-0.039999999999999994, -0.24, 0.034999999999999996]","[-0.039999999999999994, -0.24, 0.034999999999999996]","[0.08, 0.0, 0.0]","[-0.14847938662440952, 0.010469954003808322, 0.2646104065147842]","[-0.1484046211757335, 0.00801316637040882, 0.2640942704150911]","[0.0, 0.0, 0.0]"
