name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562213400398456, -0.0014398889355537697, 0.25674308831642284]",null
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562213400398456, -0.0014398889355537697, 0.25674308831642284]",null
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562213400398456, -0.0014398889355537697, 0.25674308831642284]",null
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562213400398456, -0.0014398889355537697, 0.25674308831642284]",null
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562213400398456, -0.0014398889355537697, 0.25674308831642284]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.060000000000000005, -0.1, 0.034999999999999996]","[0.060000000000000005, -0.1, 0.034999999999999996]","[0.010000000000000002, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562245520348122, -0.0014120190975843417, 0.2567437264823572]","[-3.211994966667575e-07, 2.7869837969428032e-05, 6.381659343746016e-07]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.04, -0.1, 0.034999999999999996]","[0.04, -0.1, 0.034999999999999996]","[-0.010000000000000002, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15587555401816552, -0.0014067764465476923, 0.25655511147325116]","[-0.00025342001418096616, 3.3112489006077456e-05, -0.00018797684317167773]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.09000000000000001, 0.034999999999999996]","[0.05, -0.09000000000000001, 0.034999999999999996]","[0.0, 0.009999999999999995, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562249218480081, -0.0014202750044040283, 0.25674339252103845]","[-3.581808162567146e-07, 1.9613931149741436e-05, 3.042046156087608e-07]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.11, 0.034999999999999996]","[0.05, -0.11, 0.034999999999999996]","[0.0, -0.009999999999999995, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562245520348122, -0.0014120190975843417, 0.2567437264823572]","[-3.211994966667575e-07, 2.7869837969428032e-05, 6.381659343746016e-07]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.07, -0.1, 0.034999999999999996]","[0.07, -0.1, 0.034999999999999996]","[0.020000000000000004, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562249218480081, -0.0014202750044040283, 0.25674339252103845]","[-3.581808162567146e-07, 1.9613931149741436e-05, 3.042046156087608e-07]"
h02cm_minusx,perturbation,0.02,2.0,x,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.030000000000000002, -0.1, 0.034999999999999996]","[0.030000000000000002, -0.1, 0.034999999999999996]","[-0.02, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15587555401816552, -0.0014067764465476923, 0.25655511147325116]","[-0.00025342001418096616, 3.3112489006077456e-05, -0.00018797684317167773]"
h02cm_plusy,perturbation,0.02,2.0,y,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.08, 0.034999999999999996]","[0.05, -0.08, 0.034999999999999996]","[0.0, 0.020000000000000004, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562249218480081, -0.0014202750044040283, 0.25674339252103845]","[-3.581808162567146e-07, 1.9613931149741436e-05, 3.042046156087608e-07]"
h02cm_minusy,perturbation,0.02,2.0,y,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.12000000000000001, 0.034999999999999996]","[0.05, -0.12000000000000001, 0.034999999999999996]","[0.0, -0.020000000000000004, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562245520348122, -0.0014120190975843417, 0.2567437264823572]","[-3.211994966667575e-07, 2.7869837969428032e-05, 6.381659343746016e-07]"
h04cm_plusx,perturbation,0.04,4.0,x,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.09, -0.1, 0.034999999999999996]","[0.09, -0.1, 0.034999999999999996]","[0.039999999999999994, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562249218480081, -0.0014202750044040283, 0.25674339252103845]","[-3.581808162567146e-07, 1.9613931149741436e-05, 3.042046156087608e-07]"
h04cm_minusx,perturbation,0.04,4.0,x,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.010000000000000002, -0.1, 0.034999999999999996]","[0.010000000000000002, -0.1, 0.034999999999999996]","[-0.04, 0.0, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15587555401816552, -0.0014067764465476923, 0.25655511147325116]","[-0.00025342001418096616, 3.3112489006077456e-05, -0.00018797684317167773]"
h04cm_plusy,perturbation,0.04,4.0,y,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.060000000000000005, 0.034999999999999996]","[0.05, -0.060000000000000005, 0.034999999999999996]","[0.0, 0.04, 0.0]","[-0.1569617241920781, -0.0010527489699236363, 0.25642331213948355]","[-0.15562251061265137, -0.0014244026876253386, 0.25674322574495717]","[-3.7660866680777616e-07, 1.5486247928431143e-05, 1.3742853433029723e-07]"
