name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20285675053784089, -0.00024359203134334192, 1.1733958706472405]",null
vanilla,vanilla,,,,,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.2013452882605201, -0.0003008453989552381, 1.1742331977266685]",null
vanilla,vanilla,,,,,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20285675053784089, -0.00024359203134334192, 1.1733958706472405]",null
vanilla,vanilla,,,,,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20133594414438977, -0.00105631760660981, 1.1738172103057298]",null
vanilla,vanilla,,,,,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20027022274365652, -0.0013880587742174388, 1.1739239575749043]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0951332502478196, -0.12994511970492176, 1.15063]","[0.0951332502478196, -0.12994511970492176, 1.15063]","[0.009999999999999995, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.2022073306052316, -0.000330288672914027, 1.1734485130235752]","[0.0006494199326092798, -8.669664157068507e-05, 5.264237633473279e-05]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.07513325024781961, -0.12994511970492176, 1.15063]","[0.07513325024781961, -0.12994511970492176, 1.15063]","[-0.009999999999999995, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20285675053784089, -0.00024359203134334192, 1.1733958706472405]","[0.0, 0.0, 0.0]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.11994511970492176, 1.15063]","[0.0851332502478196, -0.11994511970492176, 1.15063]","[0.0, 0.009999999999999995, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20285675053784089, -0.00024359203134334192, 1.1733958706472405]","[0.0, 0.0, 0.0]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.13994511970492177, 1.15063]","[0.0851332502478196, -0.13994511970492177, 1.15063]","[0.0, -0.010000000000000009, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20109797007910585, -0.0008537258291188054, 1.173711001912052]","[0.0017587804587350375, -0.0006101337977754634, 0.0003151312648115301]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.10513325024781961, -0.12994511970492176, 1.15063]","[0.10513325024781961, -0.12994511970492176, 1.15063]","[0.020000000000000004, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20285675053784089, -0.00024359203134334192, 1.1733958706472405]","[0.0, 0.0, 0.0]"
h02cm_minusx,perturbation,0.02,2.0,x,-1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0651332502478196, -0.12994511970492176, 1.15063]","[0.0651332502478196, -0.12994511970492176, 1.15063]","[-0.020000000000000004, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.2022073306052316, -0.000330288672914027, 1.1734485130235752]","[0.0006494199326092798, -8.669664157068507e-05, 5.264237633473279e-05]"
h02cm_plusy,perturbation,0.02,2.0,y,1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.10994511970492175, 1.15063]","[0.0851332502478196, -0.10994511970492175, 1.15063]","[0.0, 0.020000000000000004, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.2013452882605201, -0.0003008453989552381, 1.1742331977266685]","[0.0015114622773207964, -5.725336761189617e-05, 0.000837327079427963]"
h02cm_minusy,perturbation,0.02,2.0,y,-1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.14994511970492175, 1.15063]","[0.0851332502478196, -0.14994511970492175, 1.15063]","[0.0, -0.01999999999999999, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.2022073306052316, -0.000330288672914027, 1.1734485130235752]","[0.0006494199326092798, -8.669664157068507e-05, 5.264237633473279e-05]"
h04cm_plusx,perturbation,0.04,4.0,x,1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.1251332502478196, -0.12994511970492176, 1.15063]","[0.1251332502478196, -0.12994511970492176, 1.15063]","[0.039999999999999994, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.2022073306052316, -0.000330288672914027, 1.1734485130235752]","[0.0006494199326092798, -8.669664157068507e-05, 5.264237633473279e-05]"
h04cm_minusx,perturbation,0.04,4.0,x,-1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.045133250247819605, -0.12994511970492176, 1.15063]","[0.045133250247819605, -0.12994511970492176, 1.15063]","[-0.04, 0.0, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20285675053784089, -0.00024359203134334192, 1.1733958706472405]","[0.0, 0.0, 0.0]"
h04cm_plusy,perturbation,0.04,4.0,y,1,True,,"[0.0851332502478196, -0.12994511970492176, 1.15063]","[0.0851332502478196, -0.08994511970492175, 1.15063]","[0.0851332502478196, -0.08994511970492175, 1.15063]","[0.0, 0.04000000000000001, 0.0]","[-0.20309773791141197, 7.282535868331709e-05, 1.1725420599419447]","[-0.20358549825283745, -0.0007517874463122717, 1.1726383256362216]","[-0.0007287477149965638, -0.0005081954149689298, -0.0007575450110188786]"
