name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[0.0, 0.0, 0.0]","[-0.2108148623929717, -0.01515982145785171, 1.1756771209255328]","[-0.20921167836990198, -0.011699303979867052, 1.1758867442312855]",null
vanilla,vanilla,,,,,True,,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[0.0, 0.0, 0.0]","[-0.2108148623929717, -0.01515982145785171, 1.1756771209255328]","[-0.20921167836990198, -0.011699303979867052, 1.1758867442312855]",null
vanilla,vanilla,,,,,True,,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[0.0, 0.0, 0.0]","[-0.2108148623929717, -0.01515982145785171, 1.1756771209255328]","[-0.20921167836990198, -0.011699303979867052, 1.1758867442312855]",null
vanilla,vanilla,,,,,True,,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[0.0, 0.0, 0.0]","[-0.2108148623929717, -0.01515982145785171, 1.1756771209255328]","[-0.20921167836990198, -0.011699303979867052, 1.1758867442312855]",null
vanilla,vanilla,,,,,True,,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.20206256199913958, 0.97]","[0.0, 0.0, 0.0]","[-0.2108148623929717, -0.01515982145785171, 1.1756771209255328]","[-0.20921167836990198, -0.011699303979867052, 1.1758867442312855]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,False,target_contact_with_movable:plate_1,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.05348281771240428, 0.20206256199913958, 0.97]","[-0.05348281771240428, 0.20206256199913958, 0.97]","[0.010000000000000002, 0.0, 0.0]",null,null,null
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.07348281771240428, 0.20206256199913958, 0.97]","[-0.07348281771240428, 0.20206256199913958, 0.97]","[-0.009999999999999995, 0.0, 0.0]","[-0.2108148623929717, -0.01515982145785171, 1.1756771209255328]","[-0.20921167836990198, -0.011699303979867052, 1.1758867442312855]","[0.0, 0.0, 0.0]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.2120625619991396, 0.97]","[-0.06348281771240429, 0.2120625619991396, 0.97]","[0.0, 0.010000000000000009, 0.0]","[-0.2108148623929717, -0.01515982145785171, 1.1756771209255328]","[-0.20950669756448628, -0.011714204330351549, 1.1755280110600972]","[-0.0002950191945843006, -1.490035048449731e-05, -0.00035873317118828574]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.06348281771240429, 0.19206256199913957, 0.97]","[-0.06348281771240429, 0.19206256199913957, 0.97]","[0.0, -0.010000000000000009, 0.0]","[-0.2108148623929717, -0.01515982145785171, 1.1756771209255328]","[-0.20921167836990198, -0.011699303979867052, 1.1758867442312855]","[0.0, 0.0, 0.0]"
h02cm_plusx,perturbation,0.02,2.0,x,1,False,target_contact_with_movable:plate_1,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.04348281771240428, 0.20206256199913958, 0.97]","[-0.04348281771240428, 0.20206256199913958, 0.97]","[0.020000000000000004, 0.0, 0.0]",null,null,null
h02cm_minusx,perturbation,0.02,2.0,x,-1,True,,"[-0.06348281771240429, 0.20206256199913958, 0.97]","[-0.08348281771240429, 0.20206256199913958, 0.97]","[-0.08348281771240429, 0.20206256199913958, 0.97]","[-0.020000000000000004, 0.0, 0.0]","[-0.2108148623929717, -0.01515982145785171, 1.1756771209255328]","[-0.20803476983519867, -0.011144623847392053, 1.1755322387685316]","[0.0011769085347033137, 0.0005546801324749981, -0.0003545054627538402]"
