name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[0.0, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]",null
vanilla,vanilla,,,,,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[0.0, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]",null
vanilla,vanilla,,,,,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[0.0, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]",null
vanilla,vanilla,,,,,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[0.0, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]",null
vanilla,vanilla,,,,,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[0.0, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.10958883265960132, -0.24435764560581766, -0.005000000000000001]","[-0.10958883265960132, -0.24435764560581766, -0.005000000000000001]","[0.009999999999999995, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]","[0.0, 0.0, 0.0]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.1295888326596013, -0.24435764560581766, -0.005000000000000001]","[-0.1295888326596013, -0.24435764560581766, -0.005000000000000001]","[-0.009999999999999995, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]","[0.0, 0.0, 0.0]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.23435764560581765, -0.005000000000000001]","[-0.11958883265960131, -0.23435764560581765, -0.005000000000000001]","[0.0, 0.010000000000000009, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]","[0.0, 0.0, 0.0]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.25435764560581764, -0.005000000000000001]","[-0.11958883265960131, -0.25435764560581764, -0.005000000000000001]","[0.0, -0.009999999999999981, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]","[0.0, 0.0, 0.0]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.0995888326596013, -0.24435764560581766, -0.005000000000000001]","[-0.0995888326596013, -0.24435764560581766, -0.005000000000000001]","[0.020000000000000004, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]","[0.0, 0.0, 0.0]"
h02cm_minusx,perturbation,0.02,2.0,x,-1,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.13958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.13958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.020000000000000004, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]","[0.0, 0.0, 0.0]"
h02cm_plusy,perturbation,0.02,2.0,y,1,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.22435764560581767, -0.005000000000000001]","[-0.11958883265960131, -0.22435764560581767, -0.005000000000000001]","[0.0, 0.01999999999999999, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]","[0.0, 0.0, 0.0]"
h02cm_minusy,perturbation,0.02,2.0,y,-1,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.11958883265960131, -0.26435764560581765, -0.005000000000000001]","[-0.11958883265960131, -0.26435764560581765, -0.005000000000000001]","[0.0, -0.01999999999999999, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]","[0.0, 0.0, 0.0]"
h04cm_plusx,perturbation,0.04,4.0,x,1,True,,"[-0.11958883265960131, -0.24435764560581766, -0.005000000000000001]","[-0.07958883265960132, -0.24435764560581766, -0.005000000000000001]","[-0.07958883265960132, -0.24435764560581766, -0.005000000000000001]","[0.039999999999999994, 0.0, 0.0]","[-0.15392811704155876, -0.0006492343891413258, 0.25359348517137664]","[-0.15255804887728075, -0.0006194623572661662, 0.25451774614614203]","[0.0, 0.0, 0.0]"
