name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.0, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]",null
vanilla,vanilla,,,,,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.0, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]",null
vanilla,vanilla,,,,,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.0, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]",null
vanilla,vanilla,,,,,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.0, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]",null
vanilla,vanilla,,,,,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.10264932772423524, 0.0]","[0.0, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.05607199348123641, -0.10264932772423524, 0.0]","[0.05607199348123641, -0.10264932772423524, 0.0]","[0.010000000000000002, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]","[0.0, 0.0, 0.0]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.03607199348123641, -0.10264932772423524, 0.0]","[0.03607199348123641, -0.10264932772423524, 0.0]","[-0.010000000000000002, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]","[0.0, 0.0, 0.0]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.09264932772423524, 0.0]","[0.04607199348123641, -0.09264932772423524, 0.0]","[0.0, 0.009999999999999995, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]","[0.0, 0.0, 0.0]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.11264932772423523, 0.0]","[0.04607199348123641, -0.11264932772423523, 0.0]","[0.0, -0.009999999999999995, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]","[0.0, 0.0, 0.0]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.06607199348123641, -0.10264932772423524, 0.0]","[0.06607199348123641, -0.10264932772423524, 0.0]","[0.019999999999999997, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]","[0.0, 0.0, 0.0]"
h02cm_minusx,perturbation,0.02,2.0,x,-1,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.02607199348123641, -0.10264932772423524, 0.0]","[0.02607199348123641, -0.10264932772423524, 0.0]","[-0.02, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]","[0.0, 0.0, 0.0]"
h02cm_plusy,perturbation,0.02,2.0,y,1,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.08264932772423524, 0.0]","[0.04607199348123641, -0.08264932772423524, 0.0]","[0.0, 0.020000000000000004, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]","[0.0, 0.0, 0.0]"
h02cm_minusy,perturbation,0.02,2.0,y,-1,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.04607199348123641, -0.12264932772423524, 0.0]","[0.04607199348123641, -0.12264932772423524, 0.0]","[0.0, -0.020000000000000004, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]","[0.0, 0.0, 0.0]"
h04cm_plusx,perturbation,0.04,4.0,x,1,True,,"[0.04607199348123641, -0.10264932772423524, 0.0]","[0.08607199348123641, -0.10264932772423524, 0.0]","[0.08607199348123641, -0.10264932772423524, 0.0]","[0.04, 0.0, 0.0]","[-0.1333152865260226, 0.00042489250830865706, 0.27639822911292344]","[-0.13537773921416923, 0.0004633320157018837, 0.2744332700980695]","[0.0, 0.0, 0.0]"
