name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[0.0, 0.0, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.1549053815822409, -0.009149533136668728, 0.24408066731683326]",null
vanilla,vanilla,,,,,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[0.0, 0.0, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.1549053815822409, -0.009149533136668728, 0.24408066731683326]",null
vanilla,vanilla,,,,,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[0.0, 0.0, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.1549053815822409, -0.009149533136668728, 0.24408066731683326]",null
vanilla,vanilla,,,,,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[0.0, 0.0, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.1549053815822409, -0.009149533136668728, 0.24408066731683326]",null
vanilla,vanilla,,,,,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.24000000000000002, 0.015]","[0.0, 0.0, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.1549053815822409, -0.009149533136668728, 0.24408066731683326]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.11, -0.24000000000000002, 0.015]","[-0.11, -0.24000000000000002, 0.015]","[0.009999999999999995, 0.0, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.1549053815822409, -0.009149533136668728, 0.24408066731683326]","[0.0, 0.0, 0.0]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.13, -0.24000000000000002, 0.015]","[-0.13, -0.24000000000000002, 0.015]","[-0.010000000000000009, 0.0, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.1549053815822409, -0.009149533136668728, 0.24408066731683326]","[0.0, 0.0, 0.0]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.23, 0.015]","[-0.12, -0.23, 0.015]","[0.0, 0.010000000000000009, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.15519358014050672, -0.009141794465604536, 0.24387032949173348]","[-0.000288198558265812, 7.738671064192251e-06, -0.00021033782509977117]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.12, -0.25, 0.015]","[-0.12, -0.25, 0.015]","[0.0, -0.009999999999999981, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.1549053815822409, -0.009149533136668728, 0.24408066731683326]","[0.0, 0.0, 0.0]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[-0.12, -0.24000000000000002, 0.015]","[-0.09999999999999999, -0.24000000000000002, 0.015]","[-0.09999999999999999, -0.24000000000000002, 0.015]","[0.020000000000000004, 0.0, 0.0]","[-0.1564437536703257, -0.008796156048331612, 0.2421925486863506]","[-0.15519358014050672, -0.009141794465604536, 0.24387032949173348]","[-0.000288198558265812, 7.738671064192251e-06, -0.00021033782509977117]"
