name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[0.0, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]",null
vanilla,vanilla,,,,,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[0.0, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]",null
vanilla,vanilla,,,,,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[0.0, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]",null
vanilla,vanilla,,,,,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[0.0, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]",null
vanilla,vanilla,,,,,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.31525765332242334, 0.97]","[0.0, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.18485644198162993, 0.31525765332242334, 0.97]","[-0.18485644198162993, 0.31525765332242334, 0.97]","[0.010000000000000009, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]","[0.0, 0.0, 0.0]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.20485644198162994, 0.31525765332242334, 0.97]","[-0.20485644198162994, 0.31525765332242334, 0.97]","[-0.010000000000000009, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]","[0.0, 0.0, 0.0]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.32525765332242335, 0.97]","[-0.19485644198162994, 0.32525765332242335, 0.97]","[0.0, 0.010000000000000009, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]","[0.0, 0.0, 0.0]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.30525765332242333, 0.97]","[-0.19485644198162994, 0.30525765332242333, 0.97]","[0.0, -0.010000000000000009, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20711403207603898, 0.010646546946733969, 1.1887119748507196]","[-0.0006850797052112834, 8.28346271810141e-05, -0.0005573593671281962]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.17485644198162995, 0.31525765332242334, 0.97]","[-0.17485644198162995, 0.31525765332242334, 0.97]","[0.01999999999999999, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20711403207603898, 0.010646546946733969, 1.1887119748507196]","[-0.0006850797052112834, 8.28346271810141e-05, -0.0005573593671281962]"
h02cm_minusx,perturbation,0.02,2.0,x,-1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.21485644198162993, 0.31525765332242334, 0.97]","[-0.21485644198162993, 0.31525765332242334, 0.97]","[-0.01999999999999999, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]","[0.0, 0.0, 0.0]"
h02cm_plusy,perturbation,0.02,2.0,y,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.33525765332242335, 0.97]","[-0.19485644198162994, 0.33525765332242335, 0.97]","[0.0, 0.020000000000000018, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20675748893510568, 0.010559076156107492, 1.1890009570173339]","[-0.00032853656427797584, -4.636163445462596e-06, -0.0002683772005138696]"
h02cm_minusy,perturbation,0.02,2.0,y,-1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.2952576533224233, 0.97]","[-0.19485644198162994, 0.2952576533224233, 0.97]","[0.0, -0.020000000000000018, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]","[0.0, 0.0, 0.0]"
h04cm_plusx,perturbation,0.04,4.0,x,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.15485644198162993, 0.31525765332242334, 0.97]","[-0.15485644198162993, 0.31525765332242334, 0.97]","[0.04000000000000001, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20711403207603898, 0.010646546946733969, 1.1887119748507196]","[-0.0006850797052112834, 8.28346271810141e-05, -0.0005573593671281962]"
h04cm_minusx,perturbation,0.04,4.0,x,-1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.23485644198162994, 0.31525765332242334, 0.97]","[-0.23485644198162994, 0.31525765332242334, 0.97]","[-0.04000000000000001, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]","[0.0, 0.0, 0.0]"
h04cm_plusy,perturbation,0.04,4.0,y,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.3552576533224233, 0.97]","[-0.19485644198162994, 0.3552576533224233, 0.97]","[0.0, 0.03999999999999998, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]","[0.0, 0.0, 0.0]"
h04cm_minusy,perturbation,0.04,4.0,y,-1,False,target_contact_with_movable:glazed_rim_porcelain_ramekin_1,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.27525765332242336, 0.97]","[-0.19485644198162994, 0.27525765332242336, 0.97]","[0.0, -0.03999999999999998, 0.0]",null,null,null
h08cm_plusx,perturbation,0.08,8.0,x,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.11485644198162993, 0.31525765332242334, 0.97]","[-0.11485644198162993, 0.31525765332242334, 0.97]","[0.08, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20675748893510568, 0.010559076156107492, 1.1890009570173339]","[-0.00032853656427797584, -4.636163445462596e-06, -0.0002683772005138696]"
h08cm_minusx,perturbation,0.08,8.0,x,-1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.27485644198162995, 0.31525765332242334, 0.97]","[-0.27485644198162995, 0.31525765332242334, 0.97]","[-0.08000000000000002, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]","[0.0, 0.0, 0.0]"
h08cm_plusy,perturbation,0.08,8.0,y,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.39525765332242335, 0.97]","[-0.19485644198162994, 0.39525765332242335, 0.97]","[0.0, 0.08000000000000002, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20636492907263376, 0.01053380951437428, 1.1893246261650536]","[6.402329819393815e-05, -2.9902805178675523e-05, 5.529194720588215e-05]"
h08cm_minusy,perturbation,0.08,8.0,y,-1,False,target_contact_with_movable:glazed_rim_porcelain_ramekin_1,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.23525765332242332, 0.97]","[-0.19485644198162994, 0.23525765332242332, 0.97]","[0.0, -0.08000000000000002, 0.0]",null,null,null
h16cm_plusx,perturbation,0.16,16.0,x,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.03485644198162993, 0.31525765332242334, 0.97]","[-0.03485644198162993, 0.31525765332242334, 0.97]","[0.16, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20644173254459164, 0.01056352733987442, 1.1892582851333042]","[-1.2780173763937697e-05, -1.8497967853477182e-07, -1.1049084543524046e-05]"
h16cm_minusx,perturbation,0.16,16.0,x,-1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.3548564419816299, 0.31525765332242334, 0.97]","[-0.3548564419816299, 0.31525765332242334, 0.97]","[-0.15999999999999998, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2064289523708277, 0.010563712319552955, 1.1892693342178478]","[0.0, 0.0, 0.0]"
h16cm_plusy,perturbation,0.16,16.0,y,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.4752576533224233, 0.97]","[-0.19485644198162994, 0.4752576533224233, 0.97]","[0.0, 0.15999999999999998, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20639063242309558, 0.010564267342151932, 1.1893024713383964]","[3.831994773212388e-05, 5.550225989775504e-07, 3.313712054864304e-05]"
h16cm_minusy,perturbation,0.16,16.0,y,-1,False,target_contact_with_movable:glazed_rim_porcelain_ramekin_1,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.15525765332242333, 0.97]","[-0.19485644198162994, 0.15525765332242333, 0.97]","[0.0, -0.16, 0.0]",null,null,null
h32cm_plusx,perturbation,0.32,32.0,x,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[0.12514355801837007, 0.31525765332242334, 0.97]","[0.12514355801837007, 0.31525765332242334, 0.97]","[0.32, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.2069554906202127, 0.010556305662930976, 1.1888402479209184]","[-0.0005265382493850057, -7.406656621978744e-06, -0.00042908629692939293]"
h32cm_minusx,perturbation,0.32,32.0,x,-1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.5148564419816299, 0.31525765332242334, 0.97]","[-0.5148564419816299, 0.31525765332242334, 0.97]","[-0.32, 0.0, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20695497787768538, 0.010463853133489215, 1.1888404600036406]","[-0.0005260255068576802, -9.985918606373982e-05, -0.00042887421420712]"
h32cm_plusy,perturbation,0.32,32.0,y,1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, 0.6352576533224233, 0.97]","[-0.19485644198162994, 0.6352576533224233, 0.97]","[0.0, 0.32, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20644173254459164, 0.01056352733987442, 1.1892582851333042]","[-1.2780173763937697e-05, -1.8497967853477182e-07, -1.1049084543524046e-05]"
h32cm_minusy,perturbation,0.32,32.0,y,-1,True,,"[-0.19485644198162994, 0.31525765332242334, 0.97]","[-0.19485644198162994, -0.00474234667757667, 0.97]","[-0.19485644198162994, -0.00474234667757667, 0.97]","[0.0, -0.32, 0.0]","[-0.20688171409588316, 0.007598406879420967, 1.190478527375343]","[-0.20529520546609964, 0.010816015869081262, 1.1894018233979806]","[0.0011337469047280613, 0.00025230354952830714, 0.00013248918013286648]"
