name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15290488102798513, -0.020552601145384642, 0.25991096755858745]",null
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15290488102798513, -0.020552601145384642, 0.25991096755858745]",null
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15290488102798513, -0.020552601145384642, 0.25991096755858745]",null
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15290488102798513, -0.020552601145384642, 0.25991096755858745]",null
vanilla,vanilla,,,,,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.05, -0.1, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15290488102798513, -0.020552601145384642, 0.25991096755858745]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.060000000000000005, -0.1, 0.034999999999999996]","[0.060000000000000005, -0.1, 0.034999999999999996]","[0.010000000000000002, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15290488102798513, -0.020552601145384642, 0.25991096755858745]","[0.0, 0.0, 0.0]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.04, -0.1, 0.034999999999999996]","[0.04, -0.1, 0.034999999999999996]","[-0.010000000000000002, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15364576693582999, -0.021166024535610027, 0.2594160552045781]","[-0.0007408859078448515, -0.0006134233902253851, -0.0004949123540093359]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.09000000000000001, 0.034999999999999996]","[0.05, -0.09000000000000001, 0.034999999999999996]","[0.0, 0.009999999999999995, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15357660142899585, -0.020624238373394763, 0.2594791756895637]","[-0.0006717204010107114, -7.16372280101206e-05, -0.00043179186902375655]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.11, 0.034999999999999996]","[0.05, -0.11, 0.034999999999999996]","[0.0, -0.009999999999999995, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15337916516935765, -0.020400582030154078, 0.25901823995329554]","[-0.0004742841413725163, 0.00015201911523056444, -0.0008927276052919098]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.07, -0.1, 0.034999999999999996]","[0.07, -0.1, 0.034999999999999996]","[0.020000000000000004, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15364576693582999, -0.021166024535610027, 0.2594160552045781]","[-0.0007408859078448515, -0.0006134233902253851, -0.0004949123540093359]"
h02cm_minusx,perturbation,0.02,2.0,x,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.030000000000000002, -0.1, 0.034999999999999996]","[0.030000000000000002, -0.1, 0.034999999999999996]","[-0.02, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15364576693582999, -0.021166024535610027, 0.2594160552045781]","[-0.0007408859078448515, -0.0006134233902253851, -0.0004949123540093359]"
h02cm_plusy,perturbation,0.02,2.0,y,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.08, 0.034999999999999996]","[0.05, -0.08, 0.034999999999999996]","[0.0, 0.020000000000000004, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15357660142899585, -0.020624238373394763, 0.2594791756895637]","[-0.0006717204010107114, -7.16372280101206e-05, -0.00043179186902375655]"
h02cm_minusy,perturbation,0.02,2.0,y,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.12000000000000001, 0.034999999999999996]","[0.05, -0.12000000000000001, 0.034999999999999996]","[0.0, -0.020000000000000004, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15324630485674243, -0.020561893823264135, 0.25956228834144707]","[-0.0003414238287572924, -9.292677879493144e-06, -0.00034867921714037964]"
h04cm_plusx,perturbation,0.04,4.0,x,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.09, -0.1, 0.034999999999999996]","[0.09, -0.1, 0.034999999999999996]","[0.039999999999999994, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15337916516935765, -0.020400582030154078, 0.25901823995329554]","[-0.0004742841413725163, 0.00015201911523056444, -0.0008927276052919098]"
h04cm_minusx,perturbation,0.04,4.0,x,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.010000000000000002, -0.1, 0.034999999999999996]","[0.010000000000000002, -0.1, 0.034999999999999996]","[-0.04, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15364576693582999, -0.021166024535610027, 0.2594160552045781]","[-0.0007408859078448515, -0.0006134233902253851, -0.0004949123540093359]"
h04cm_plusy,perturbation,0.04,4.0,y,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.060000000000000005, 0.034999999999999996]","[0.05, -0.060000000000000005, 0.034999999999999996]","[0.0, 0.04, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15364576693582999, -0.021166024535610027, 0.2594160552045781]","[-0.0007408859078448515, -0.0006134233902253851, -0.0004949123540093359]"
h04cm_minusy,perturbation,0.04,4.0,y,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.14, 0.034999999999999996]","[0.05, -0.14, 0.034999999999999996]","[0.0, -0.04000000000000001, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.1542574424826181, -0.02028394415897313, 0.2591650171453219]","[-0.0013525614546329723, 0.00026865698641151056, -0.0007459504132655281]"
h08cm_plusx,perturbation,0.08,8.0,x,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.13, -0.1, 0.034999999999999996]","[0.13, -0.1, 0.034999999999999996]","[0.08, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15337916516935765, -0.020400582030154078, 0.25901823995329554]","[-0.0004742841413725163, 0.00015201911523056444, -0.0008927276052919098]"
h08cm_minusx,perturbation,0.08,8.0,x,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[-0.03, -0.1, 0.034999999999999996]","[-0.03, -0.1, 0.034999999999999996]","[-0.08, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15325484124552585, -0.014651111346680078, 0.2602527484751836]","[-0.00034996021754071793, 0.005901489798704564, 0.00034178091659614607]"
h08cm_plusy,perturbation,0.08,8.0,y,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.020000000000000004, 0.034999999999999996]","[0.05, -0.020000000000000004, 0.034999999999999996]","[0.0, 0.08, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.1537142324360628, -0.021172165766343065, 0.25935515339734266]","[-0.0008093514080776687, -0.0006195646209584231, -0.0005558141612447831]"
h08cm_minusy,perturbation,0.08,8.0,y,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.18, 0.034999999999999996]","[0.05, -0.18, 0.034999999999999996]","[0.0, -0.07999999999999999, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15327244303989074, -0.020436469355588682, 0.25911950999463673]","[-0.00036756201190560334, 0.00011613178979595976, -0.0007914575639507149]"
h16cm_plusx,perturbation,0.16,16.0,x,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.21000000000000002, -0.1, 0.034999999999999996]","[0.21000000000000002, -0.1, 0.034999999999999996]","[0.16000000000000003, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.1535199567280637, -0.020318762796918043, 0.25952596821438284]","[-0.0006150757000785712, 0.00023383834846659943, -0.00038499934420460624]"
h16cm_minusx,perturbation,0.16,16.0,x,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[-0.11, -0.1, 0.034999999999999996]","[-0.11, -0.1, 0.034999999999999996]","[-0.16, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15409032886672605, -0.02133224316069273, 0.25932910641743934]","[-0.0011854478387409162, -0.0007796420153080887, -0.00058186114114811]"
h16cm_plusy,perturbation,0.16,16.0,y,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, 0.06, 0.034999999999999996]","[0.05, 0.06, 0.034999999999999996]","[0.0, 0.16, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.153516927655583, -0.020120841768390428, 0.25952987355831314]","[-0.0006120466275978675, 0.00043175937699421393, -0.00038109400027430684]"
h16cm_minusy,perturbation,0.16,16.0,y,-1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.05, -0.26, 0.034999999999999996]","[0.05, -0.26, 0.034999999999999996]","[0.0, -0.16, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.15425960790016238, -0.02033029649566842, 0.2591652544540451]","[-0.0013547268721772476, 0.00022230464971622135, -0.000745713104542356]"
h32cm_plusx,perturbation,0.32,32.0,x,1,True,,"[0.05, -0.1, 0.034999999999999996]","[0.37, -0.1, 0.034999999999999996]","[0.37, -0.1, 0.034999999999999996]","[0.32, 0.0, 0.0]","[-0.15576316852121325, -0.02124832437908321, 0.2593324960905493]","[-0.1535199567280637, -0.020318762796918043, 0.25952596821438284]","[-0.0006150757000785712, 0.00023383834846659943, -0.00038499934420460624]"
