name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.0, 0.0, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.21066126590373221, -0.009207544412410494, 1.182284576382816]",null
vanilla,vanilla,,,,,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.0, 0.0, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.21066126590373221, -0.009207544412410494, 1.182284576382816]",null
vanilla,vanilla,,,,,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.0, 0.0, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.21066126590373221, -0.009207544412410494, 1.182284576382816]",null
vanilla,vanilla,,,,,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.0, 0.0, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.21066126590373221, -0.009207544412410494, 1.182284576382816]",null
vanilla,vanilla,,,,,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.0, 0.0, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.21066126590373221, -0.009207544412410494, 1.182284576382816]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.048944822138478096, -0.2651063558710821, 1.2315200000000002]","[0.048944822138478096, -0.2651063558710821, 1.2315200000000002]","[0.010000000000000002, 0.0, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.2104376000459028, -0.009219197527625882, 1.1824578323985657]","[0.00022366585782940263, -1.1653115215387935e-05, 0.00017325601574968985]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.028944822138478092, -0.2651063558710821, 1.2315200000000002]","[0.028944822138478092, -0.2651063558710821, 1.2315200000000002]","[-0.010000000000000002, 0.0, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.21066126590373221, -0.009207544412410494, 1.182284576382816]","[0.0, 0.0, 0.0]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2551063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2551063558710821, 1.2315200000000002]","[0.0, 0.010000000000000009, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.20927632692374049, -0.00820097950277029, 1.1828820941379314]","[0.0013849389799917289, 0.001006564909640205, 0.0005975177551154065]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2751063558710821, 1.2315200000000002]","[0.038944822138478094, -0.2751063558710821, 1.2315200000000002]","[0.0, -0.010000000000000009, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.21066126590373221, -0.009207544412410494, 1.182284576382816]","[0.0, 0.0, 0.0]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[0.038944822138478094, -0.2651063558710821, 1.2315200000000002]","[0.0589448221384781, -0.2651063558710821, 1.2315200000000002]","[0.0589448221384781, -0.2651063558710821, 1.2315200000000002]","[0.020000000000000004, 0.0, 0.0]","[-0.21222314138731427, -0.007258360039587556, 1.1806633786403533]","[-0.21066126590373221, -0.009207544412410494, 1.182284576382816]","[0.0, 0.0, 0.0]"
